macd,macd_label,pizhut,piz_label
We’ve served nearly 4 Million Thank You Meals. And we only hope to serve millions more. Let them know! ,Positive,Get something for everyone.,Positive
" Friends. Family. Community. WE NEED YOU!  Please help us help our frontline workers. We want to give them a FREE thank you meal. If you know anyone who could use one, please like, tag in comment or retweet to let them know. We’d truly be proud to take their order.",Positive,From our Hut to yours since 1958. Order now for carryout or contactless delivery.,Positive
Make sure your friends are doing this right... #washyourlyrics.,Positive,Stay home and let us do the cooking. Get a large pizza with up to three toppings for just $9.99. Be sure to ask for contactless delivery.,Positive
It's the most magical time of the year. #ShamrockShakeSZN is back! So float on over and enjoy a deliciously creamy Shamrock Shake®.,Positive,Take a break from meal-planning for the family and order the Big Dinner Box. Available for contactless delivery or carryout today.,Positive
It's back! Post a pic of how you're celebrating #ShamrockShakeSZN for the chance to be featured on our feed.,Negative,Get our best delivery deal online now! Order a large pizza with up to three toppings for just $9.99. Available for contactless delivery or carryout.,Negative
Some call it “losing an hour.”  We like to call it “one hour closer to the best meal of the day.” What are you having today? #DaylightSavings,Positive,Our ovens are on! Order now and request contactless delivery or carryout.,Positive
#FBF to that time two weeks ago when we launched the OREO® Shamrock McFlurry®. Happy birthday @OREO! #NationalOREODay,Positive,Proud to be a part of @NoahGrossman214 delivering kindness to support those on the front lines. ,Positive
It’s the morning your breakfast dreams are made of. Happy National #EggMcMuffinDay!,Positive,"For 60 years and counting, we've been here to deliver for you. Pizza Hut is OPEN for contactless delivery!",Positive
Good news #LeapDay means an extra morning to get breakfast. Good-er news? National #EggMcMuffinDay is just two days away! Download our App and get a FREE Egg McMuffin for breakfast on 3/2.,Positive,Let us do the cooking.  Order online now and request contactless delivery or carryout.,Positive
What’s better than breakfast? A FREE Egg McMuffin for breakfast. Dreams do come true! National #EggMcMuffinDay is 3/2. Get one free with our App.,Positive,We're open for contactless delivery and carryout. Order your favorites today! ,Positive
"Celebrate 50 years of #ShamrockShakeSZN with an 18K gold, diamond and emerald tribute: the Golden Shamrock Shake. Bid NOW and it could be yours. Proceeds benefit @RMHC! http://mcd.to/60191mJQl ",Positive,"If a weekend can feel like a weekday, then any night can be pizza night. Especially if it's 50% off! Online only.",Positive
The return of #ShamrockShakeSZN is finally here! Celebrate with the delicious new OREO® Shamrock McFlurry® or a classic and creamy Shamrock Shake. ,Positive,Your Pizza Hut is currently hiring! Come be part of our team: http://jobs.pizzahut.com .,Positive
I don't know who needs to hear this but no one has this range,Negative,Lunchtime is our favorite subject. Feed the whole fam for lunch when you order for carryout or contactless delivery.,Positive
Flowers might say “I love you” but fries say “I get you” ,Negative,Want your pizza left at your door? No problem. Request “contactless delivery” in the delivery instructions when you place your order.,Positive
"#ShamrockShakeSZN is coming back for its 50th anniversary. Celebrate with the iconic shake or the brand new OREO® Shamrock McFlurry®, available 2/19! ",Negative,How’re you taking part in #TheGreatAmericanTakeout?,Positive
"Everyone has an order. May we take yours? No, really. Reply with your order and see what happens.",Positive,"From our Hut to yours, we’re committed to bringing all your delicious favorites safely to you. Order with confidence at http://pizzahut.com .",Positive
Chicken McNuggets dipped in ____ is the ONLY way to eat them!,Negative,We're open and delivering the classics you love from our Hut to yours.,Neutral
"Everyone has an order. May we take yours?

And yes, all featured orders are the person’s actual go-to order. Except Dracula. We made that one up.",Positive,Which combo are you getting delivered today?,Positive
" IT’S TIME  The best place to get your chicken breakfast sandwich...bright and early and 7 days a week. Chicken McGriddles and McChicken Biscuits, now available nationwide.",Negative,"We're continuing to follow guidelines from the CDC, as well as state and local health authorities. Please see below to learn about how we plan to support the communities we serve by offering delivery and carryout.",Negative
Get you a restaurant that can do it all. ,Negative,I’m gonna tell my kids this is what Pi Day is about.,Positive
"The 2020 McDonald's All American Games roster is set  The top 48 players in the country are headed to Houston!  #WhereTheFutureStarts​
 
Get  for the Games at https://bit.ly/30OwAK9 ",Positive,The health and wellbeing of our team members and customers is our top priority. Please see below for a letter highlighting what we’re doing in our restaurants and the communities we serve to keep everyone safe.,Positive
Odds of me getting a McDonald’s Baked Apple Pie today. #NationalPieDay,Positive,IT'S BACK. Feast your eyes on the Big Dipper. Then feast for real.,Neutral
Give it up  for the 2020 @McDAAG nominees! Check back on 1/23 to see who makes the final roster. #WhereTheFutureStarts,Positive,Beauty comes in all shapes & sizes.,Neutral
"New year, same order:   ",Positive,DON’T forget.,Neutral
Can you use #McNuggets to barter for the window seat? It’s certainly worth a try. #HolidayTravel,Positive,"mom...can we please order stuffed crust...
    

 ",Positive
EXCLUSIVE | McDonald’s and Coca-Cola are the first brand partners for Snapchat Scan: https://nytv.to/1pNvm ,Positive,The stars have aligned and an iconic pizza item is coming back to our menu. Who can guess what it is? ,Positive
The 2020 McDonald’s All American Games are coming in clutch this year!  @McDAAG are headed to Houston!  Stay tuned for tickets in Jan 2020. #WhereTheFutureStarts,Positive,It's getting hot in here with our Nashville Hot Wings. Who's tried them? ,Negative
#Holiday 2019 Gift Guide: Parents: Significant other: Friends: Anyone you’ve ever met: ,Positive,We’ll try to squeeze you in.,Neutral
"Interesting point of view, Molly.  But, we're not judging! ",Positive,How’s your future looking?,Neutral
"That sounds delicious, Xaviera! We hope you enjoyed! Visit us again soon!",Positive,"Something spicy is coming, but you're gonna have to wait ",Positive
"LAST CHANCE to win late-night delivery* of your favs  FOR A YEAR & next day essentials. Make 2020 the best year yet & tweet #McDelivery, #Sweepstakes, @McDonalds & @UberEats w/ McDonald’s menu items you'd want delivered for a chance to win. Rules: http://mcd.to/60131uT9X ",Positive,"Bet you can’t reply “wings"" to this tweet 10 times in a row without being interrupted",Positive
Houston. Knoxville. Lunch tomorrow? No beef.  ,Neutral,We don't know who needs to hear this...but no one else has the range.,Negative
"Our girl @Arielle knows nothing satisfies late-night cravings like a ! For a chance to win a weekender bag & a YEAR of late-night delivery* tweet #McDelivery, #Sweepstakes, @McDonalds, @UberEats & McDonald’s menu items you'd want delivered. Rules: http://mcd.to/60141uT9E ",Positive,Bone apple teeth,Neutral
"Craving something sweeter than ? How about a YEAR of late-night delivery*  & a weekender bag of next day essentials! Tweet #McDelivery, #Sweepstakes, @McDonalds & @UberEats w/ McDonald’s menu items you'd want delivered for a chance to win. Rules: http://mcd.to/60121uTgs ",Positive,"Us on Singles Awareness Day:
.
.
.
.
We still eatin' good tho.",Positive
The way to solidify your place in #Friendsgiving history: bring all the #McNuggets and #Fries,Positive,Spend Valentine’s Day with your one true love,Positive
What could be better than  + ? See some  moments from the Biggest Night in Latin Music  #LatinGRAMMY,Positive,The grind never stops,Negative
"In case you missed #BeatofMyCity Chicago, @Genius sat down with @JuiceWorlddd to talk about his unforgettable hometown performance and the importance of giving back to @100BMC http://mcd.to/60031MbWU ",Positive,Pop it like it’s hot. ‘Cause it is. Mozzarella Poppers Pizza is here.,Neutral
It’s almost a wrap on #McRibSZN.  Get your hands on the last of the saucy #McRib while you still can!,Positive,It’s #NationalPizzaDay and there’s only one way to celebrate—by discovering your Pizza Truth with our new IG stories effect. Head over to our stories to try it & tag us with your results! ,Positive
You just found out #McRibSZN is about to end.  What’s your next move?,Neutral,"everyone: SILENCE BRAND!


us:",Positive
"Whether you dress up early or late, wishing you a happy #Halloween, all day long. ",Positive,"If you don’t have money you can’t buy 
pizza ",Neutral
 is ticking down on #McRibSZN! Get your hands on one last #McRib before they’re gone!,Negative,Our newest pizza is almost here and y’all aren’t even ready for it,Positive
Watch as @teyanataylor and @Genius return to her roots and reflect on the how @ChildrensAIDNYC inspired her to give back to the city that shaped her with #BeatofmyCity ,Negative,4TH QUARTER SWEEPS  Drinking buddies are buddies for life.  Reply with a pic of you drinking with your other half using #HutHutSweeps for a chance to win free pizza! Link in bio for rules.,Positive
"For your next gathering, add  to your #McRib for a menu upgrade that’ll make you the talk of #McRibSZN.   Find one near you in our App.",Positive,3RD QUARTER SWEEPS  Let’s see everyone’s matching outfits . Reply to this tweet with a pic of you and a friend in matching jerseys using #HutHutSweeps for a chance to win free pizza ! Link in bio for rules.,Positive
Keep it festive  all #McRibSZN with saucy styles that show your  for the #McRib. Find one near you in our App.,Positive,"IT’S THE PEPSI ® HALFTIME SHOW  Time to sing your heart out in the replies.Replace the word “baby” with “pizza"" in any song lyric using #HutHutSweeps for a chance to win free pizza ! Link in bio for rules.",Positive
You never forget your first #McRib of the year. Show off yours using the hashtag #McRibSZN and it might get featured. ,Negative,2ND QUARTER SWEEPS  Let’s take a break in the game to reflect on the past. Show us your baby pics!  Reply with a throwback pic of you using #HutHutSweeps for a chance to win free pizza! Link in bio for rules.,Positive
"#McRibSZN is here, which means it’s time to rise, shine and  get  in  line! Find the closest #McRib to you on our App.",Positive,"1ST QUARTER SWEEPS  Tag your twin in the replies using #HutHutSweeps for a chance to win free pizza! Your sister from another mister, your brother from another mother, or just a friend you always eat pizza with during the game.  Link in bio for rules.",Positive
"Join @JuiceWorlddd and @Genius to Annotate for Good-- flex your  knowledge on Genius and raise money to benefit @100BMC ! #BeatofMyCity

Find out more 
http://mcd.to/600011DpA ",Positive,Protect him at all costs. ,Negative
"Mark your calendars, #McRib fans, because soon #McRibSZN will be back and saucier than ever!",Neutral,"PREGAME SWEEPS  Can you predict when the Super Bowl Baby Twins will be born? Reply w/either 1st quarter, 2nd quarter, halftime, 3rd quarter, or 4th quarter & #HutHutSweeps for a chance to win free pizza AND two free tickets to the 2020 NFL Draft!  Link in bio for rules.",Positive
It’s not every day automotive history is made in our drive-thru...,Positive,We’re excited to give away TWO YEARS of free pizza to the first set of twin babies born after kickoff. Not pregnant but still want free pizza??? Stay tuned for lots of chances to win during the game . Link in bio for rules.,Positive
#TheRiseOfSkywalker,Neutral,Type @M in the replies… whoever shows up first has to order pizza for the watch party.,Positive
"Couldn’t celebrate #McDelivery Night In with @UberEats on 9/19? Luckily you can still snag some swag! Tweet your fav menu item to @McDonalds, @UberEats with #McDeliverySweepstakes and you could win merch from the Night In Line. Rules at http://playatmcd.com/mcdeliverysweeps …",Positive,What’s one thing you can say while eating pizza and watching football?,Neutral
Final chance: Just days left for you and a friend to win free McCafé for Life*!  Just reply to this tweet to share some good they've done with #BeABrewGooder #Sweepstakes + tag @McDonalds. Rules: http://www.beabrewgooder.com ,Positive,"We’re delivering nearly 30,000 slices of free pizza in these bad boys for the big game. @FordTrucks ",Positive
"Tonight, get ready to stay in! McDelivery Night in is here! Order #McDelivery w/ @UberEats starting at 5pm local time to get some free swag!*

*While supplies last w/ $10 minimum purchase.",Positive,"What are you most excited for this Sunday? 
 Super Bowl LIV 
 All the pizza 
 All the wings
 Not leaving the couch",Positive
Happy #NationalCheeseburgerDay! Which decade did you first feel all  for our ?,Positive,Finally an expression for when the  arrives. ,Neutral
